cells,timepoint
V1_T0,T0
V2_T0,T0
V3_T0,T0
V4_T0,T0
V5_T0,T0
V6_T0,T0
V7_T0,T0
V8_T0,T0
V9_T0,T0
V10_T0,T0
V11_T0,T0
V12_T0,T0
V13_T0,T0
V14_T0,T0
V15_T0,T0
V16_T0,T0
V17_T0,T0
V18_T0,T0
V19_T0,T0
V20_T0,T0
V21_T0,T0
V22_T0,T0
V23_T0,T0
V24_T0,T0
V25_T0,T0
V26_T0,T0
V27_T0,T0
V28_T0,T0
V29_T0,T0
V30_T0,T0
V31_T0,T0
V32_T0,T0
V33_T0,T0
V34_T0,T0
V35_T0,T0
V36_T0,T0
V37_T0,T0
V38_T0,T0
V39_T0,T0
V40_T0,T0
V41_T0,T0
V42_T0,T0
V43_T0,T0
V44_T0,T0
V45_T0,T0
V46_T0,T0
V47_T0,T0
V48_T0,T0
V49_T0,T0
V50_T0,T0
V51_T0,T0
V52_T0,T0
V53_T0,T0
V54_T0,T0
V55_T0,T0
V56_T0,T0
V57_T0,T0
V58_T0,T0
V59_T0,T0
V60_T0,T0
V61_T0,T0
V62_T0,T0
V63_T0,T0
V64_T0,T0
V65_T0,T0
V66_T0,T0
V67_T0,T0
V68_T0,T0
V69_T0,T0
V70_T0,T0
V71_T0,T0
V72_T0,T0
V73_T0,T0
V74_T0,T0
V75_T0,T0
V76_T0,T0
V77_T0,T0
V78_T0,T0
V79_T0,T0
V80_T0,T0
V81_T0,T0
V82_T0,T0
V83_T0,T0
V84_T0,T0
V85_T0,T0
V86_T0,T0
V87_T0,T0
V88_T0,T0
V89_T0,T0
V90_T0,T0
V91_T0,T0
V92_T0,T0
V93_T0,T0
V94_T0,T0
V95_T0,T0
V96_T0,T0
V97_T0,T0
V98_T0,T0
V99_T0,T0
V100_T0,T0
V101_T0,T0
V102_T0,T0
V103_T0,T0
V104_T0,T0
V105_T0,T0
V106_T0,T0
V107_T0,T0
V108_T0,T0
V109_T0,T0
V110_T0,T0
V111_T0,T0
V112_T0,T0
V113_T0,T0
V114_T0,T0
V115_T0,T0
V116_T0,T0
V117_T0,T0
V118_T0,T0
V119_T0,T0
V120_T0,T0
V121_T0,T0
V122_T0,T0
V123_T0,T0
V124_T0,T0
V125_T0,T0
V126_T0,T0
V127_T0,T0
V128_T0,T0
